scenario_id,run_id,throughput_orders_per_shift,queue_length_mean,rho_predicted,pipeline_version,seed,utilization_human,utilization_humanoid,utilization_amr
S-baseline-human,0,932.0,0.0,0.10416666666666667,0.1.0,42,0.10141643268452316,,
S-baseline-human,1,998.0,0.0,0.10416666666666667,0.1.0,43,0.10891924172670817,,
S-baseline-human,2,961.0,0.0,0.10416666666666667,0.1.0,44,0.10471098521530346,,
S-baseline-human,3,927.0,0.0010775862068965517,0.10416666666666667,0.1.0,45,0.10084888585868843,,
S-baseline-human,4,952.0,0.0,0.10416666666666667,0.1.0,46,0.10292020511094438,,
S-baseline-human,5,889.0,0.0,0.10416666666666667,0.1.0,47,0.09631416806547989,,
S-baseline-human,6,962.0,0.0,0.10416666666666667,0.1.0,48,0.10438159647267393,,
S-baseline-human,7,975.0,0.0,0.10416666666666667,0.1.0,49,0.10700598242860221,,
S-baseline-human,8,978.0,0.0,0.10416666666666667,0.1.0,50,0.10647975305173463,,
S-baseline-human,9,971.0,0.0,0.10416666666666667,0.1.0,51,0.10591227870614507,,
S-baseline-human,10,984.0,0.0,0.10416666666666667,0.1.0,52,0.10736473154116619,,
S-baseline-human,11,984.0,0.0,0.10416666666666667,0.1.0,53,0.10648685015824835,,
S-baseline-human,12,910.0,0.0,0.10416666666666667,0.1.0,54,0.09724999705186686,,
S-baseline-human,13,924.0,0.0,0.10416666666666667,0.1.0,55,0.10047119894040585,,
S-baseline-human,14,898.0,0.0,0.10416666666666667,0.1.0,56,0.09895969148888958,,
S-pure-humanoid,0,930.0,0.01072961373390558,0.32820476190476194,0.1.0,42,,0.31869154105420644,
S-pure-humanoid,1,997.0,0.00501002004008016,0.32820476190476194,0.1.0,43,,0.34176337800711704,
S-pure-humanoid,2,960.0,0.004162330905306972,0.32820476190476194,0.1.0,44,,0.3288417989722841,
S-pure-humanoid,3,921.0,0.0065005417118093175,0.32820476190476194,0.1.0,45,,0.3157643646216608,
S-pure-humanoid,4,951.0,0.0031446540880503146,0.32820476190476194,0.1.0,46,,0.32572365646550966,
S-pure-humanoid,5,888.0,0.0022471910112359553,0.32820476190476194,0.1.0,47,,0.3040360040309396,
S-pure-humanoid,6,959.0,0.006237006237006237,0.32820476190476194,0.1.0,48,,0.3289028923471688,
S-pure-humanoid,7,973.0,0.0020429009193054137,0.32820476190476194,0.1.0,49,,0.3353260150159222,
S-pure-humanoid,8,977.0,0.0,0.32820476190476194,0.1.0,50,,0.3348794428227955,
S-pure-humanoid,9,968.0,0.006179196704428424,0.32820476190476194,0.1.0,51,,0.3324776792966716,
S-pure-humanoid,10,981.0,0.003045685279187817,0.32820476190476194,0.1.0,52,,0.33722743599452243,
S-pure-humanoid,11,977.0,0.01940755873340143,0.32820476190476194,0.1.0,53,,0.3340589141446738,
S-pure-humanoid,12,909.0,0.003289473684210526,0.32820476190476194,0.1.0,54,,0.310448402796763,
S-pure-humanoid,13,923.0,0.003246753246753247,0.32820476190476194,0.1.0,55,,0.3162232807720976,
S-pure-humanoid,14,898.0,0.0011123470522803114,0.32820476190476194,0.1.0,56,,0.3088487131458907,
S-hybrid-5050,0,931.0,0.015021459227467811,0.21618571428571431,0.1.0,42,0.10850644741132728,0.2984194126534634,
S-hybrid-5050,1,990.0,0.023138832997987926,0.21618571428571431,0.1.0,43,0.1104039446613388,0.3302897239548472,
S-hybrid-5050,2,955.0,0.015657620041753653,0.21618571428571431,0.1.0,44,0.10132546900152914,0.34070098521150477,
S-hybrid-5050,3,923.0,0.02922077922077922,0.21618571428571431,0.1.0,45,0.09871361247622072,0.32091225011101154,
S-hybrid-5050,4,976.0,0.07062436028659161,0.21618571428571431,0.1.0,46,0.10795230871746957,0.3258466947839337,
S-hybrid-5050,5,893.0,0.035794183445190156,0.21618571428571431,0.1.0,47,0.08825103788877381,0.3358073671603421,
S-hybrid-5050,6,958.0,0.03128258602711158,0.21618571428571431,0.1.0,48,0.10678584266210782,0.32059140399274194,
S-hybrid-5050,7,968.0,0.023711340206185566,0.21618571428571431,0.1.0,49,0.10998315810965038,0.3205546911957796,
S-hybrid-5050,8,982.0,0.027466937945066123,0.21618571428571431,0.1.0,50,0.1080921315258633,0.33454038539377634,
S-hybrid-5050,9,975.0,0.020429009193054137,0.21618571428571431,0.1.0,51,0.10697148129720431,0.32935272563609463,
S-hybrid-5050,10,989.0,0.045454545454545456,0.21618571428571431,0.1.0,52,0.10750332357722787,0.34004072069261654,
S-hybrid-5050,11,994.0,0.027135678391959798,0.21618571428571431,0.1.0,53,0.1084599065456996,0.33667324845377916,
S-hybrid-5050,12,915.0,0.04143947655398037,0.21618571428571431,0.1.0,54,0.0918825927736221,0.33089799765726213,
S-hybrid-5050,13,944.0,0.03059071729957806,0.21618571428571431,0.1.0,55,0.1010032768060821,0.33099638505555967,
S-hybrid-5050,14,898.0,0.05784204671857619,0.21618571428571431,0.1.0,56,0.09453102555387391,0.32748460384185135,
S-hybrid-amr,0,948.0,0.12750263435194942,0.19793439153439152,0.1.0,42,0.1433035018669451,0.4256393255605521,0.16563720900186402
S-hybrid-amr,1,1006.0,0.13220675944333996,0.19793439153439152,0.1.0,43,0.14820990979838722,0.4283139234944734,0.20549050430799368
S-hybrid-amr,2,959.0,0.14864864864864866,0.19793439153439152,0.1.0,44,0.13937311850081177,0.46199056143461914,0.18116496880859206
S-hybrid-amr,3,918.0,0.1,0.19793439153439152,0.1.0,45,0.13446793411262603,0.39343895585450095,0.18455586270772237
